No. NF;DATA EMISSAO;VALOR IPI;NOME ARQUIVO XML
NF 26019;2015-05-26T08:22:01-03:00;0;43150507526557003982550010000260191962373606-old.xml
NF 26019;2015-05-26T08:22:01-03:00;0;43150507526557003982550010000260191962373606-old.xml
NF 26019;2015-05-26T08:22:01-03:00;0;43150507526557003982550010000260191962373606-old.xml
NF 65524;2015-05-14T05:24:58-03:00;0;43150507526557004016550010000655241093291883-old.xml
NF 65524;2015-05-14T05:24:58-03:00;0;43150507526557004016550010000655241093291883-old.xml
NF 65524;2015-05-14T05:24:58-03:00;0;43150507526557004016550010000655241093291883-old.xml
NF 64715;2015-05-06T01:55:03-03:00;0;43150507526557004016550010000647151736961476-old.xml
NF 64715;2015-05-06T01:55:03-03:00;0;43150507526557004016550010000647151736961476-old.xml
NF 64715;2015-05-06T01:55:03-03:00;0;43150507526557004016550010000647151736961476-old.xml
NF 64490;2015-05-04T00:27:53-03:00;0;43150507526557004016550010000644901731568405-old.xml
NF 64490;2015-05-04T00:27:53-03:00;0;43150507526557004016550010000644901731568405-old.xml
